word_list,alternative_list
Kritiker,Kritische
Kritiker,kritische Stimmen
Küchenhelfer,Küchenhilfe
Kunde,Kundschaft
Kundenauftrag,Auftrag durch Kundschaft
Kundenauftrag,Auftrag
Kundenbedürfnisse,Bedürfnisse der Kundschaft
Kundenberatung,Beratung der Kundschaft
kundenfreundlich,praktisch zu bedienen
kundenfreundlich,publikumsfreundlich
kundenfreundlich,nutzungsfreundlich
Kundengruppe,Kundschaft
kundenorientiert,publikumsorientiert
Kundenwerbung,Akquise
Kundenwünsche,Wünsche der Kundschaft
Kunstfreunde,Kunstbegeisterte
Künstler,Kunstschaffende
Künstlername,Pseudonym
Künstlername,Kunstname
Laborant,Laborfachkraft
Laborarbeiter,Laborfachkraft
Laie,Mensch ohne Fachkenntnisse
Laie,fachunkundige Person
Laie,fachfremde Person
Laien,Fachunkundige
Laien,Fachfremde
Landsmänner,Landsleute
Landwirte,Landwirtschaft Betreibende
Landwirte,landwirtschaftlich Beschäftigte
Landwirte,Beschäftigte in der Landwirtschaft
Lehrer,Lehrperson
Lehrer,Lehrkräfte
Lehrer,Lehrpersonen
Lehrer,das Kollegium
Lehrer,Lehrende
Lehrerpult,Tisch der Lehrkraft
Lehrerpult,Pult der Lehrkraft
Lehrerzimmer,Arbeitszimmer der Lehrkräfte
Lehrerzimmer,Teamraum
Lehrling,Nachwuchskraft
Lehrling,Person in Ausbildung
Lehrling,auszubildende Person
Lehrling,lernende Person
Lehrlinge,Auszubildende
Lehrlinge,Lernende
Lehrstuhlinhaber,Leitung des Lehrstuhles
Lehrstuhlinhaber,Leitende eines Lehrstuhles
Lehrstuhlleiter,Leitung des Lehrstuhls
Lehrstuhlleiter,Leitende eines Lehrstuhles
Leistungsbezieher,Leistung Beziehende
Leiter,Leitung
Lektor,das Lektorat
Anmerkungen des Lektors,Anmerkungen des Lektorats
Lektorstelle,Lektoratsstelle
Lenker,Fahrzeug lenkende Person
Leser,lesende Person
An den werten Leser,An die werten lesenden Personen
Leser,Leserschaft
Leser,lesende Zielgruppe
Leser,Lesende
Leserbrief,Kommentar zum Artikel
Leserbriefe,Ihre Meinungen
Leserbriefe,Ihre Meinungen
Leserbriefe,offene Zuschriften
leserfreundlich,lesefreundlich
Lieber ,An
Lieber ,Hallo
Lieber ,Guten Tag
Lieferant,Lieferfirma
Linkshänder,linkshändige Person
Literaturkritiker,Literatur kritisierende Person
Literaturkritiker,Literaturkritisierende
Macher,Aktive
Mädchen für alles,Mensch für alles
Mädchenname,Geburtsname
Magier,Zauberkunst ausübende Person
Man glaubt es kaum,Ich glaube es kaum
Manager,Management
Manager,Unternehmensführung
Manager,Führungskraft
manch einem,manch einer Person
Mann ,Person
alle Mann an Bord!,alle an Bord!
etwas am Mann tragen,etwas bei sich tragen
Not am Mann,Notsituation
Ein-Mann-Betrieb,Eine-Person-Betrieb
seinen Mann stehen,auf sich gestellt sein
seinen Mann stehen,sich behaupten
seinen Mann stehen,sich bewähren
Männchen,Figürchen
Männchen,Spielfigur
Manndeckung,1:1-Verteidigung
Mannsbild,gestandene Person
Massbild,Powermensch
Mannschaft,Team
Mannschaft,Gruppe
Mannschaft,Kollektiv
Damenmannschaft,Damenteam
Frauenmannschaft,Frauenteam
Mädchenmannschaft,Mädchenteam
Mathematiker,mathematisch qualifizierte Person
Mathematiker,sich mit Mathematik befassende Person
Matrose,Mitglied der Schiffsbesatzung
Medienanbieter,Medienorganisationen
Medienpartner,in Medienpartnerschaft mit
Mediziner,medizinisches Fachpersonal
Mediziner,ärztliches Fachpersonal
Meister,Erster Platz der Deutschen Meisterschaft
Meister,Erster Platz der Weltmeisterschaft
Meister,Erstplatzierte
Meisterschaft,Turnier
Meisterschaft,Wettbewerb
Mentor,Vorbild
Mentor,fürsprechende Person
Mentor,beratende Person
Mentor,fördernde Person
Mieter,Mietperson
Mieter,Mietpartei
Mieterverein,Mietverein
Mieterverein,Mietvertretung
Migrant,Person mit Migrationshintergrund
Migrant,eingewanderte Person
Migranten,Personen mit Migrationshintergrund
Migranten,Eingewanderte
Migranten,Zugewanderte
Migranten,Migrierte
Milchmädchenrechnung,Trugschluss
Milchmädchenrechnung,Irrtum
Milchmädchenrechnung,falsche Erwartung
Milchmädchenrechnung,Fehlschluss
Milchmädchenrechnung,Illusion
Mitarbeiter,Mitarbeitende
Mitarbeiter,Beschäftigte
Mitarbeiter,Angestellte
Mitarbeiter,Tätige
Mitarbeiter,Belegschaft
Mitarbeiter,Arbeitskräfte
Mitarbeiter,Kollegium
Mitarbeiter,Personal
Mitarbeiter,Teammitglieder
Mitarbeiter,Werktätige
Mitarbeiter,Betriebsangehörige
Mitarbeiter,Konzernangehörige
Mitarbeiter,Firmenangehörige
Mitarbeiter,Unternehmensangehörige
Mitarbeiter,bei uns beschäftigte Personen
Mitarbeiter,Festangestellte
Mitarbeiter,Untergebene
Mitarbeiter,Arbeitsgemeinschaft
Mitarbeiter,Arbeitsgruppe
Mitarbeiter,Beteiligte
Mitarbeiter,Crew
Mitarbeiter,Gruppe
Mitarbeiter,Servicekräfte
Mitarbeiter,Servicepersonal
Mitarbeiter,Team
Mitarbeiter in Teilzeit,Teilzeitkraft
Mitarbeiter der Hochschule,Hochschulpersonal
Unimitarbeiter,Hochschulpersonal
Mitarbeiterführung,Personalmanagement
Mitarbeiterführung,Personführung
Mitarbeiterführung,Personalpolitik
Mitarbeitergespräch,Dienstbesprechung
Mitarbeitergespräch,Qualifikationsgespräch
Mitarbeitergespräch,Arbeitsgespräch
Mitarbeitergespräch,Beurteilungsgespräch
Mitarbeitergespräch,Jahresgespräch
Mitarbeitergespräch,Beschäftigtengespräch
Mitarbeitergespräch,Personalgespräch
Mitarbeiterorientierung,orientiert an den Mitarbeitenden
Mitarbeiterorientierung,Mitarbeitendenorientierung
Mitarbeitersuche,Personalsuche
Mitarbeitersuche,Mitarbeitendensuche
Mitarbeiterstellen,Stellen für Mitarbeitende
Mitarbeiterstellen,Arbeitsplätze
Mitbewohner,Wohnungsteilende
Mitbürger,Mitmensch
Mitbürger,Landsleute
Mitbürger,Mitmenschen
Mitbürger,Staatsangehörige
Mitfahrergelegenheit,Mitfahrgelegenheit
Mitglieder,Zugehörige
Mitglieder,Angehörige
Mitglieder,Teil von
Mitschüler,andere Kinder aus der Klasse
Mitschüler,andere Kinder aus der Schule
Mitschüler,Mitlernende
Mitwisser,Eingeweihte
Moderator,Moderation
Modeschöpfer,Mode Schaffende
Mofafahrer,Mofa Fahrende
Mörder,einen Mord begehende Person
Mörder,mordende Person
Müllmann,Müll entsorgende Person
Müllmänner,Beschäftigte der Müllabfuhr
Müllmänner,Müllabfuhr
Multiplikator,"Person, die Informationen weitergibt"
Multiplikator,"Person, die Wissen weitergibt"
Multiplikator,Wissen weitergebende Person
Multiplikator,Information weitergebende Person
Musiker,Musikausübende
Musiker,Musikschaffende
Musiker,Musikspielende
Musiker,Musizierende
Musiker,Mitglieder eines Orchesters
Muslim,Mensch muslimischen Glaubens
Mutter,Elternteil
Mutter-Kind-Gruppe,Eltern-Kind-Gruppe
Mutter Natur,Natur
Mutter Natur,Grüne
Mutter Natur,Naturreich
Mütterberatung,Elternberatung
mütterlicherseits,brittalicherseits
mütterlicherseits,martinalicherseits
Muttermilch,Elternmilch
Muttermilch,Brustmilch
Mutterschutz,Elternschutz
Muttersprache,Erstsprache
Muttersprache,Familiensprache
Nachbarn,nebenan Wohnende
Nachbarn,Hausgemeinschaft
Nachfolger,Nachfolge
Nachwuchswissenschaftler,wissenschaftlicher Nachwuchs
Namensvetter,Gleichnamige
Nutzer,nutzende Person
Nutzer,"Person, die nutzt"
Nutzer,"Personen, die nutzen"
Nutzer,Nutzung
Nutzer,Mitglieder
Nutzer,Nutzende
Nutzergruppe,mit Aufgaben betrauter Personenkreis
Nutzergruppe,mit Aufgaben arbeitender Personenkreis
Oberarzt,ärztliche Führungskraft
Ombudsmann,Ombudsperson
Organisatoren,Organisation
Organisatoren,Organisationsteam
Organisatoren,Organisationskomitee
Organisatoren,organisiert von
Organisatoren,Organisierende
Organspender,Organ Spendende
Organspender,Organ spendende Personen
Pächter,pachtende Person
Pädagoge,pädagogische Fachkraft
Paketbote,Paketzustellung
Parlamentarier,Abgeordnete
Partner,Gegenüber
Partner,Unterstützung
Partner,Mitglied
Partner,Beteiligte
Partner,Kooperationen
Partner,Mitwirkende
Partner,Partnerorganisationen
Partnerarbeit,Zweierarbeit
Partnerarbeit,Paararbeit
Partnerarbeit,Tandemarbeit
Partnerschaft,Beziehung
Partnerschaft,Kooperation
Partnerschaft,Zusammenarbeit
Partnerschaft,Tandem
Passagier,reisende Person
Passagiere,Reisende
Passanten,Vorübergehende
Passantenbefragung,Straßenbefragung
Pate,Patenamt
Pate,Patenschaft
Patienten,zu behandelnde Personen
Patienten,"Personen, die in Behandlung sind"
Patienten,Kranke
Patienten,Erkrankte
Patienten,Menschen mit einer Erkrankung
Patienten,"Menschen, die im Krankenhaus liegen"
Patienten,Betroffene
Patienten,Behandelte
Krebspatienten,von der Krebskrankheit Betroffene
Patientenverfügung,Verfügung für betreuende Personen
Patientenversorgung,ärztliche Versorgung
Patientenversorgung,Behandlung
Patientenversorgung,Pflege
Pendler,Pendelnde
Pendlerpauschale,Entfernungspauschale
Pendlerpauschale,Pendelpauschale
Pendlerpauschale,Pauschale für Pendelnde
Pendlerpauschale,"Pauschale für Menschen, die pendeln"
Personalleiter,Personalleitung
Personalrat,Mitglied des Personalrates
Personalräte,Mitglieder des Personalrates
Personalräte,der Personalrat
Personalräte,Mitarbeitendenvertretung
Personalvertreter,Personalvertretung
Pfadfinder,Scout
Pfadfinder,Pfadis
Pfarrer,Pfarrperson
Pfleger,Pflegekraft
Pfleger,Pflegekräfte
Pfleger,Pflegepersonal
Pfleger,die Pflege
Pilot,flugzeugführende Belegschaft
Pionier,vorkämpfende Person
Planer,planende Personen
Planer,planende Institutionen
Politiker,Menschen in der Politik
Politiker,"Menschen, die in der Politik tätig sind"
Polizisten,Polizei
Polizisten,Polizeikräfte
Polizisten,Polizeileute
Postbote,Postzustellung
Praktikant,eine ein Praktikum absolvierende Person
Praktikant,eine Person im Praktikum
Praktikant,eine sich in einem Praktikum befindende Person
Praktikant,Intern
Praktikanten,Auszubildende im Praktikum
Praktikantenstelle,Praktikumsstelle
Praktiker,Praktizierende
Praktiker,Leute aus der Praxis
Praktiker,praktisch veranlagte Menschen
Präsident,Staatsoberhaupt
Präsident,Vorsitz
Präsidenten,Vorsitzende
die Vereinspräsidenten,die Vereinsvorsitzenden
Präsidentenwahl,Präsidentschaftswahl
Prediger,Predigende
Preisträger,ausgezeichnete Person
Proband,Testperson
Proband,Versuchsperson
Probanden,Testpersonen
Probanden,Versuchspersonen
Probanden,Teilnehmende
Produzent,die Produktionsleitung innehabende Person
Produzenten,Produzierende
Produzenten,Produktionsteam
Professor,eine Professur innehabende Person
Professoren,Professorenschaft
Profi,Fachperson
Profi,Person mit Fachwissen
Profi,Person mit Fachkenntnis
Profis,Sachkundige
Profis,Fachleute
Profis,Sachverständige
Programmierer,Softwareerstellende
Programmierer,Programmierende
Projektleiter,Projektleitung
Proletarier,Lohnabhängige
Proletarier,Werktätige
Proletarier,Arbeitende
Proletarier,Angehörige des Proletariats
Protagonist,Figur
Protagonist,Hauptperson
Protagonist,Hauptfigur
Protagonist,zentrale Gestalt
Protagonist,Schlüsselfigur
Protagonist,Titelrolle
Protagonisten,Hauptpersonen
Protagonisten,Hauptfiguren
Protagonisten,zentrale Gestalten
Protagonisten,Schlüsselfiguren
Protagonisten,Titelrollen
Protagonisten,Aktive
Protokollführer,protokollführende Person
Prüfer,Prüfungsleitung
Prüfer,Prüfungsabnahme durch
Prüfer,geprüft von
Prüfling,zu prüfende Person
Psychotherapeut,psychotherapeutisches Fachpersonal
Putzfrau,Reinigungspersonal
Putzfrau,Reinigungskraft
Putzfrau,Raumpflege
Rabbiner,Mitglied des Rabbinats
Rabbiner,Rabbinat
Radfahrer,Rad Fahrende
Radfahrer,wer mit dem Rad unterwegs ist
Ratgeber,Wegbegleitung
Ratgeber,Beistand
Ratgeber,ratgebende Person
Ratgeber,beratende Person
Raucherbereich,Bereich für Rauchende
Raucherpause,Zigarettenpause
Rechnungsprüfer,Rechnungsprüfung
Rechnungsprüfer,"Person, die die Rechnungsprüfung macht"
Rechnungsprüfer,"Person, die für die Rechnungsprüfung verantwortlich ist"
Rechtsanwalt,Rechtsbeistand
Rechtshänder,rechtshändige Person
Redakteur,Redaktion
Redakteur,Redationsmitglied
Redner,referierende Person
Redner,vortragende Person
Rednerliste,Redeliste
Rednerpult,Redepult
Referent,referierende Person
Referent,vortragende Person
Referenten,Referierende
Referenten,Vortragende
Referenten warens,Es referierten
Reiseleiter,Reiseleitung
Rekrut,Nachwuchs
Rektor,Schulleitung
Rentner,"Menschen, im Rentenalter"
Rentner,"Menschen, die in der Rente sind"
Reporter,Presse
Reporter,berichterstattende Person
Reporter,Medienvertretung
Repräsentanten,Vertretung
Rettungsschwimmer,aus dem Wasser rettende Person
Rezipient,rezipierende Person
Rezipient,empfangende Person
Rezipienten,Rezipierende
Rezipienten,Publikum
Richter,rechtsprechende Person
Richter,Richterschaft
Rollstuhlfahrer,Person im Rollstuhl
Sachbearbeiter,Verwaltungskraft
Sachbearbeiter,Verwaltungskräfte
Sachbearbeiter,Sachbearbeitende
Sänger,Stimme
Sänger,Stimmen
Sänger,Chor
Sänger,"Personen, die singen"
Sänger,Gesangsgruppe
Sänger,Singende
Sanitäter,Rettungskräfte
Schatzmeister,Finanzvorstand
Schatzmeister,Kassenführung
Schatzmeister,Kassenverwaltung
Schauspieler,Rollen
Schauspieler,Besetzung
Schauspieler,Darstellende
Schirmherr,Support
Schirmherr,gefördert von
Schirmherr,unterstützt von
Schirmherrschaft,Support
Schirmherrschaft,gefördert von
Schirmherrschaft,unterstützt von
Schlichter,Schlichtende
Schlichter,Schlichtungsperson
Schneemann,Schneefigur
Schöpfer,schaffende Person
Schöpfer,Schaffende
Schulabbrecher,Geringqualifizierte
Schulabbrecher,Menschen ohne Schulabschluss
Schuldiger,schuldige Person
Schüler,Schulkind
Schüler,Klassenmitglied
Schüler,Schulkinder
Schüler,Kinder
Schüler,Jugendliche
Schüler,die Klasse
Schüler,Lernende
Schüler,Beschulte
Schüler,Klassenmitglieder
Schüleraustausch,Schulaustausch
Schülerbegegnung,Schulbegegnung
Schülerbegegnung,Klassenbegegnung
Schwiegermutter,Schwiegerelternteil
Schwiegervater,Schwiegerelternteil
Seefahrer,Seeleute
Seemann,Hochsee-Fachkraft
Seemann,maritime Fachkraft
seinerzeit,zu jener Zeit
seinerzeit,damals
seinerzeit,einst
seinerzeit,früher
seinesgleichen,von gleicher Art
Sekretärin,Verwaltungskraft
Sekretärin,Assistenz
Sekretärin,Schreibkraft
Sekretärin,Bürokraft
Sekretärinnen,Verwaltungskräfte
Sekretärinnen,Verwaltungsfachangestellte
Sekretärinnen,Assistenzen
Sekretärinnen,Schreibkräfte
Sekretärinnen,Bürokräfte
Selbstmörder,einen Selbstmord/Suizid begehende Person
Seminarleiter,Seminarleitung
Sender,gesendet von
Sender,Sendende
Senioren,ältere Menschen
Senioren,Menschen im Rentenalter
Sexist,sexistische Person
Sieger,Erster Platz
Sitznachbar,Person neben mir
Sitznachbar,nebenan sitzende Person
Soldat,Mitglied der Streitkräfte eines Landes
Sozialarbeiter,in der Sozialarbeit tätige Person
Sozialarbeiter,Sozialarbeitende
Sozialpädagoge,sozialpädagogische Fachkraft
Sozialversicherungsfachangestellter,in der Sozialversicherung fachangestellte Person
Spaziergänger,Person zu Fuß
Spaziergänger,spazierende Person
Spaziergänger,wandernde Person
Spaziergänger,Wandersperson
Spaziergänger,Personen zu Fuß
Spender,Gebende
Spender,Sponsoring
Spender,Spenden
Spezialisten,Sachkundige
Spezialisten,Fachleute
Spezialisten,Sachverständige
Spieler,Teammitglied
Spieler,Spielende
Spieler,Teammitglieder
Spion,auskundschaftende Person
Spion,spionierende Person
Sprecher ,Abgeordnete
Sprecher,Stimme
Sprecher,Text gesprochen von
Sprecher,Moderation
Sprecher,Kommentar
Sprecher,Ansage
Sprecher,Sprachrohr
Sprecher,Pressestelle
Sprecher,Öffentlichkeitsarbeit
Sponsoren,Sponsoring
Sponsoren,geldgebende Personen
Sponsoren,geldgebende Firmen
Sportfreunde,Mitglieder des Vereins
Sportfreunde,Mitglieder unseres Vereins
Sportler,sporttreibende Person
Sportler,Sporttreibende
Staatsbürgerschaft,Staatsangehörigkeit
Staatsbürgerschaft,Nationalität
Staatsmänner,Volksbeauftragte
Staatsmänner,Menschen in der Politik
Stadtführer,Stadtführung
Stadtführer,Reiseleitung
Star,berühmte Persönlichkeit
Star,Berühmtheit
Steinewerfer,Steinewerfende
Steinewerfer,Steine werfende Personen
Stellvertreter,Stellvertretung
Steuerhinterzieher,Steuerhinterziehende
Stifterrat,Stiftungsrat
Stifterversammlung,Stiftungsversammlung
Stipendiaten,Studierende mit Stipendium
Störer,Störende
Strahlemann,Sonnenschein
Student,Mitglied der Studierenden
Studenten,Studierende
Studienanfänger,Studienbeginnende
Studienanfänger,Erstis
Studienanfänger,Erstsemestrige
Studienbewerber,Studienbewerbungen
Studienbewerber,Einschreibungen
Tagesmutter,Tagespflege
Tagesmutter,Tagesbetreuung
Tagesmutter,Tageseltern
Tagesmutter,Kinderbetreuung
Tante-Emma-Laden,Minimarkt
Tante-Emma-Laden,Laden für Waren des täglichen Bedarfs
Täter,Unrechtsperson
Täter,Unrechtspersonen
Täter,Tatbegehende
Täter,Kriminelle
Täter,Tat begangen von
Täufling,Taufkind
Teamleiter,Teamleitung
Techniker,technische Fachkraft
Teilnehmer,Teilnehmende
Teilnehmer,Beteiligte
Teilnehmer,"alle, die an teilnehmen"
Teilnehmer,Anwesende
Teilnehmer,Anmeldungen
Teilnehmergebühr,Teilnahmegebühr
Teilnehmerliste,Teilnahmeliste
Teilnehmerliste,Anwesenheitsliste
Teilnehmerliste,Teilnehmendenliste
Teilnehmerzahl,Teilnahmezahl
Teilnehmerzahl,Gruppengröße
Teilnehmerzahl,Anmeldezahl
Terrorist,des Terrors verdächtigte Person
Terrorist,eines Terroranschlags überführte Person
Terroristen,Terrorisierende
Testleiter,Testleitung
Theaterpädagoge,theaterpädagogische Fachkraft
Theoretiker,theoretisch Arbeitende
Therapeut,therapeutisches Fachpersonal
Therapeuten,Therapierende
Touristen,Urlaubsgäste
Trainer,Übungsleitung
Trainer,Referierende
Trainer,Vortragende
Trainer,Unterrichtende
Trainer,Lehrende
Tutor,studentische Hilfskraft
Tutoren,Übungsleitende
Tutoren,Tutoriumsbegleitende
Tutoren,Ratgebende
Tutoren,Begleitung
übermannen,überkommen
übermannen,überwältigen
Übersetzer,Übersetzende
Übersetzer,Literatur Übersetzende
Übungsleiter,sportliche Anleitung
Übungsleiter,technische Anleitung
Übungsleiter,praktische Anleitung
Übungsleiter,anleitende Person
Umschüler,Umlernende
Umschüler,Umschulende
Umschüler,die zu Qualifizierenden
Umschüler,Personen in beruflicher Neuorientierung
unbemannt,ohne Besatzung
unbemannt,maschinengesteuert
unbemannt,autonom
unbemannt,ferngesteuert
unbemannt,unbesetzt
unbemannt,robotisch
unbemannte Raumfahrt,robotische Raumfahrt
Unternehmer,Gewerbe betreibende Person
Unternehmer,selbstständige Person
Unternehmer,Selbstständige
Unternehmer,Wirtschaftstreibende
Unternehmer,Geschäftsleute
Unternehmer,Gewerbe Betreibende
Unterstützer,support
Unterstützer,Geldgebende
Unterstützer,Förderung durch
Urheberrecht,Copyright
Urheberrecht,Recht auf geistiges Eigentum
Urlauber,Reisende
User,Nutzende
User,"Personen, die Apps nutzen"
User,"Personen, die Software nutzen"
User,Mitglieder
V-Mann,V-Person
V-Männer,V-Leute
Vater,Elternteil
Vaterland,Heimatland
Vaterland,Geburtsland
Vaterland,Erstland
Veranstalter,veranstaltet durch
Veranstalter,veranstaltet von
Verantwortlicher,die Verantwortung tragende Person
Verantwortlicher,verantwortliche Person
Verbandsgesellschafter,Vertretungen der Verbände
Verbandsgesellschafter,Beteiligte der Verbände
Verbandsvertreter,Vertretungen der Verbände
Verbandsvertreter,Beteiligte der Verbände
Verbraucher,Kundschaft
Verbraucher,Konsumierende
Verbraucherschützer,für den Verbraucherschutz beauftragte Person
Verbrecher,"Person, die eine Straftat begeht"
Verbrecher,"Person, die ein Verbrechen begeht"
Verfasser,verfasst von
Verfasser,Autorenschaft
Verkäufer,Kaufhauspersonal
Verkäufer,Personal
Verkehrssünder,Verkehrsregeln missachtende Person
Verkehrsteilnehmer,Verkehrsbeteiligte
Verleger,Publizierende
Verlierer,der letzte Platz
Verlierer,die Letzten
Vermieter,vermietende Person
Vermittler,Mittelsperson
Versichertenkarte,Versicherungskarte
Versichertenkarte,Gesundheitskarte
Versichertennummer,Versicherungsnummer
Versicherungsnehmer,versicherte Person
Versicherungsnehmer,versicherte Personen
Versicherungsnehmer,Versicherte
Versuchsleiter,Versuchsleitung
Verteidiger,Verteidigung
Verteidiger,Rechtsvertretung
Vertragspartner,Vertragsparteien
Vertreter,in vertretender Position
Vertreter,vertreten durch
Vertreter,Vertretung
Vertreter,Delegierte
Vertreter,Abgesandte
Vertreter,Abgeordnete
Vertreter,Beauftragte
Verwandter,Familienmitglied
Veteran,altgediente Person
Veteranen,Altgediente
Veteranen,ehemalige Kriegsteilnehmende
Vorgesetzter,Führungskraft
Vormund,die Vormundschaft innehabende Person
Vormund,Vormundschaft
Vorläufer,älteres/altes Modell
Vorreiter,Person an der Spitze
Vorreiter,"Person, die etwas vorlebt"
Vorreiter,"Person, die voraus denkt"
Vorreiter,"Person, die voraus handelt"
Vorsitzender,den 1. Vorsitz hat
Vorstand,Vorstandsmitglied
Vorstand,im Vorstand
Wächter,Wache
Wähler,Wahlberechtigte
Wähler,"alle, die zur Wahl gegangen sind"
Wählerinitiative,Initiative der Wahlberechtigten
Wählerverzeichnis,Wählendenverzeichnis
Waidmannsheil!,Waidleutsheil!
Wart,überwachende Person
Wegbereiter,Weg bereitende Person
Wegewart,Wege überwachende Person
weltmännisch,cosmopolitisch
weltmännisch,weltgewandt
Weltmarktführer,Weltmarktführende
Wettbewerber,Konkurrenz
Wettbewerber,Wettbewerbsteilnehmende
Wissenschaftler,Forschende
Wissenschaftler,wissenschaftliches Personal der Universität
Witwer,Verwitwete
Workshopleiter,Workshopleitung
Xylophonspieler,Xylophon Spielende
Zahnarztpraxis,Praxis für Zahnerhaltung
Zahnarztpraxis,zahnmedizinische Praxis
Zahnarztpraxis,Praxis für Zahnmedizin
Zauberer,Zaubertrick vorführende Person
Zauberer,Zauberkunstschaffende
Zehnkämpfer,am Zehnkampf teilnehmende Person
Zeitgenosse,Mitmensch
Zeuge,bezeugende Person
Zeugen,Bezeugende
Zimmermädchen,Servicekraft
Zimmermädchen,Raumpflege
Zimmermädchen,Reinigungskraft
Zivilist,Zivilperson
Zivilisten,Zivilpersonen
Zoobesucher,Zoogäste
Zoobesucher,Zoobesuche
Zuhörer,Publikum
Zuhörer,Auditorium
Zuschauer,Person aus dem Publikum
Zuschauer,Publikum
Zuständiger,zuständige Person
Zuwanderer,Zugewanderte
Zuwanderer,Personen mit Migrationshintergrund
Zuwanderer,Eingewanderte
Zuwanderer,Migrierte
